DROP VIEW
CREATE VIEW
                                 lz                                 |  survey   | province_name | province_code | province_mdb_c | district_name | district_code | district_mdb_c |  municipality_name   | municipality_code | municipality_mdb_c | main_place_name | main_place_code |    village_name    | village_code |  pop  | num_sas |   approx_coord    |                 village_and_coord                 
--------------------------------------------------------------------+-----------+---------------+---------------+----------------+---------------+---------------+----------------+----------------------+-------------------+--------------------+-----------------+-----------------+--------------------+--------------+-------+---------+-------------------+---------------------------------------------------
 59209: Free State open access cattle and crops (ZAOCC)             | hea       | Free State    |             4 | FS             | Mangaung      |           499 | MAN            | Mangaung             |               499 | MAN                | Balaclava       |          499041 | Balaclava SP       |    499041001 |   219 |       1 | -29.3964, 26.9889 | hea - Balaclava SP: -29.3964, 26.9889
 59209: Free State open access cattle and crops (ZAOCC)             | both      | Free State    |             4 | FS             | Mangaung      |           499 | MAN            | Mangaung             |               499 | MAN                | Bofulo          |          499003 | Bofulo SP          |    499003001 |   204 |       1 | -28.9471, 26.8661 | both - Bofulo SP: -28.9471, 26.8661
 59209: Free State open access cattle and crops (ZAOCC)             | continuum | Free State    |             4 | FS             | Mangaung      |           499 | MAN            | Mangaung             |               499 | MAN                | Feloane Trust   |          499021 | Feloane Trust SP   |    499021001 |   453 |       1 | -29.1161, 26.7363 | continuum - Feloane Trust SP: -29.1161, 26.7363
 59209: Free State open access cattle and crops (ZAOCC)             | both      | Free State    |             4 | FS             | Mangaung      |           499 | MAN            | Mangaung             |               499 | MAN                | Gladstone       |          499038 | Gladstone SP       |    499038001 |   774 |       2 | -29.3645, 26.8394 | both - Gladstone SP: -29.3645, 26.8394
 59209: Free State open access cattle and crops (ZAOCC)             | hea       | Free State    |             4 | FS             | Mangaung      |           499 | MAN            | Mangaung             |               499 | MAN                | Groothoek       |          499033 | Groothoek SP       |    499033001 |    33 |       1 | -29.3061, 26.8551 | hea - Groothoek SP: -29.3061, 26.8551
 59209: Free State open access cattle and crops (ZAOCC)             | hea       | Free State    |             4 | FS             | Mangaung      |           499 | MAN            | Mangaung             |               499 | MAN                | Klipfontein     |          499046 | Klipfontein SP     |    499046001 |   180 |       1 | -29.5213, 26.9820 | hea - Klipfontein SP: -29.5213, 26.9820
 59209: Free State open access cattle and crops (ZAOCC)             | hea       | Free State    |             4 | FS             | Mangaung      |           499 | MAN            | Mangaung             |               499 | MAN                | Merino          |          499018 | Merino SP          |    499018001 |   387 |       1 | -29.0893, 26.7627 | hea - Merino SP: -29.0893, 26.7627
 59209: Free State open access cattle and crops (ZAOCC)             | hea       | Free State    |             4 | FS             | Mangaung      |           499 | MAN            | Mangaung             |               499 | MAN                | Modutung        |          499007 | Modutung SP        |    499007001 |   420 |       1 | -28.9848, 26.7996 | hea - Modutung SP: -28.9848, 26.7996
 59209: Free State open access cattle and crops (ZAOCC)             | hea       | Free State    |             4 | FS             | Mangaung      |           499 | MAN            | Mangaung             |               499 | MAN                | Moroto          |          499020 | Moroto SP          |    499020001 |   411 |       1 | -29.1005, 26.9836 | hea - Moroto SP: -29.1005, 26.9836
