village_name,village_code,main_place_name,main_place_code,municipality_name,municipality_code,municipality_mdb_c,district_name,district_code,district_mdb_c,province_name,province_code,province_mdb_c,lz_code,sa_code,gid,survey
Okhukho B SP,581091001,Okhukho B,581091,Ulundi,581,KZN266,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59206,5810209,36403,hea
Makane SP,583021001,Makane,583021,Jozini,583,KZN272,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59206,5830252,36808,hea
Mjindi SP,583058001,Mjindi,583058,Jozini,583,KZN272,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59206,5830026,36916,hea
Qomukuphila SP,584011001,Qomukuphila,584011,The Big 5 False Bay,584,KZN273,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59206,5840033,37049,hea
Mabhokisini SP,585035001,Mabhokisini,585035,Hlabisa,585,KZN274,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59206,5850028,37155,hea
Ematholeni SP,587010001,Ematholeni,587010,Mfolozi,587,KZN281,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59206,5870052,37415,hea
Nomponjwana SP,588032001,Nomponjwana,588032,Ntambanana,588,KZN283,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59206,5880060,37575,hea
Kwahlaza SP,588046001,Kwahlaza,588046,Ntambanana,588,KZN283,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59206,5880001,37598,hea
Makhehle SP1,589006001,Makhehle,589006,uMlalazi,589,KZN284,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59206,5890302,37646,hea
Doornhoek SP,514008001,Doornhoek,514008,Emnambithi/Ladysmith,514,KZN232,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59207,5140324,30506,hea
Mbanane SP,526018001,Mbanane,526018,Dannhauser,526,KZN254,Amajuba,555,DC25,KwaZulu-Natal,5,KZN,59207,5260128,31513,hea
Moltloung SP,526021001,Moltloung,526021,Dannhauser,526,KZN254,Amajuba,555,DC25,KwaZulu-Natal,5,KZN,59207,5260034,31522,hea
Anville SP,526037001,Anville,526037,Dannhauser,526,KZN254,Amajuba,555,DC25,KwaZulu-Natal,5,KZN,59207,5260141,31570,hea
Ezidulini SP,529025001,Ezidulini,529025,Abaqulusi,529,KZN263,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59207,5290224,31835,hea
Wittekleifontein,569023003,Mabaso,569023,Indaka,569,KZN233,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59207,5690154,34463,hea
Ndatshana SP,575009001,Ndatshana,575009,Nqutu,575,KZN242,Umzinyathi,554,DC24,KwaZulu-Natal,5,KZN,59207,5750185,35074,hea
Bhekabantu A SP,575048001,Bhekabantu A,575048,Nqutu,575,KZN242,Umzinyathi,554,DC24,KwaZulu-Natal,5,KZN,59207,5750033,35141,hea
KwaMfeka A SP,575134001,KwaMfeka A,575134,Nqutu,575,KZN242,Umzinyathi,554,DC24,KwaZulu-Natal,5,KZN,59207,5750212,35277,hea
Macanco SP,576033001,Macanco,576033,Msinga,576,KZN244,Umzinyathi,554,DC24,KwaZulu-Natal,5,KZN,59207,5760149,35346,hea
KwaMathonsi SP,576072001,KwaMathonsi,576072,Msinga,576,KZN244,Umzinyathi,554,DC24,KwaZulu-Natal,5,KZN,59207,5760171,35438,hea
Oranjedal SP,579013001,Oranjedal,579013,UPhongolo,579,KZN262,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59207,5790052,35858,hea
Moyeni SP,565023001,Moyeni,565023,Impendle,565,KZN224,UMgungundlovu,522,DC22,KwaZulu-Natal,5,KZN,59208,5650015,33240,hea
Sithunjwana SP,565028001,Sithunjwana,565028,Impendle,565,KZN224,UMgungundlovu,522,DC22,KwaZulu-Natal,5,KZN,59208,5650046,33256,hea
Okhahlamba NU,571003002,Okhahlamba NU,571003,Okhahlamba,571,KZN235,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59208,5710006,34609,hea
Okhahlamba NU,571003002,Okhahlamba NU,571003,Okhahlamba,571,KZN235,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59208,5710003,34607,hea
Bhalekisi SP,571023001,Bhalekisi,571023,Okhahlamba,571,KZN235,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59208,5710148,34693,hea
Gosheni SP,571046001,Gosheni,571046,Okhahlamba,571,KZN235,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59208,5710150,34736,hea
Isandlwana SP,571060001,Isandlwana,571060,Okhahlamba,571,KZN235,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59208,5710167,34762,hea
Situlwane SP,571068001,Situlwane,571068,Okhahlamba,571,KZN235,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59208,5710176,34776,hea
Bhekuzulu SP,573006001,Bhekuzulu,573006,Imbabazane,573,KZN236,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59208,5730112,34808,hea
Mbelekwane SP,573011001,Mbelekwane,573011,Imbabazane,573,KZN236,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59208,5730099,34827,hea
Mhlangeni SP,595001001,Mhlangeni,595001,Kwa Sani,595,KZN432,Sisonke,543,DC43,KwaZulu-Natal,5,KZN,59208,5950007,38991,hea
Engodini SP,573021001,Engodini,573021,Imbabazane,573,KZN236,Uthukela,523,DC23,KwaZulu-Natal,5,KZN,59208,5730019,34860,hea
Gladstone SP,499038001,Gladstone,499038,Mangaung,499,MAN,Mangaung,499,MAN,Free State,4,FS,59209,4990248,29662,hea
Balaclava SP,499041001,Balaclava,499041,Mangaung,499,MAN,Mangaung,499,MAN,Free State,4,FS,59209,4990048,29665,hea
Modutung SP,499007001,Modutung,499007,Mangaung,499,MAN,Mangaung,499,MAN,Free State,4,FS,59209,4990255,28457,hea
Sediba A SP,499011001,Sediba A,499011,Mangaung,499,MAN,Mangaung,499,MAN,Free State,4,FS,59209,4990299,28461,hea
Rooibult SP,499004001,Rooibult,499004,Mangaung,499,MAN,Mangaung,499,MAN,Free State,4,FS,59209,4990098,28454,hea
Merino SP,499018001,Merino,499018,Mangaung,499,MAN,Mangaung,499,MAN,Free State,4,FS,59209,4990182,28468,hea
Paradys SP,499019001,Paradys,499019,Mangaung,499,MAN,Mangaung,499,MAN,Free State,4,FS,59209,4990249,28469,hea
Moroto SP,499020001,Moroto,499020,Mangaung,499,MAN,Mangaung,499,MAN,Free State,4,FS,59209,4990227,28470,hea
Groothoek SP,499033001,Groothoek,499033,Mangaung,499,MAN,Mangaung,499,MAN,Free State,4,FS,59209,4990006,29656,hea
Woodbridge SP1,499043002,Woodbridge,499043,Mangaung,499,MAN,Mangaung,499,MAN,Free State,4,FS,59209,4990033,29668,hea
Springfontein SP,499045001,Springfontein,499045,Mangaung,499,MAN,Mangaung,499,MAN,Free State,4,FS,59209,4990024,29670,hea
Klipfontein SP,499046001,Klipfontein,499046,Mangaung,499,MAN,Mangaung,499,MAN,Free State,4,FS,59209,4990037,29671,hea
Sosibo SP,503028001,Sosibo,503028,Umzumbe,503,KZN213,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59210,5030121,29734,hea
Sunduza SP,503070001,Sunduza,503070,Umzumbe,503,KZN213,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59210,5030098,29861,hea
Bethlehem SP,594022001,Bethlehem,594022,Ingwe,594,KZN431,Sisonke,543,DC43,KwaZulu-Natal,5,KZN,59210,5940086,38865,hea
Mashayilanga SP,594049001,Mashayilanga,594049,Ingwe,594,KZN431,Sisonke,543,DC43,KwaZulu-Natal,5,KZN,59210,5940047,38930,hea
Ndunduma SP,597022001,Ndunduma,597022,Ubuhlebezwe,597,KZN434,Sisonke,543,DC43,KwaZulu-Natal,5,KZN,59210,5970011,39157,hea
Hlokozi SP,597038001,Hlokozi,597038,Ubuhlebezwe,597,KZN434,Sisonke,543,DC43,KwaZulu-Natal,5,KZN,59210,5970105,39183,hea
Etshenilenduna SP,597055001,Etshenilenduna,597055,Ubuhlebezwe,597,KZN434,Sisonke,543,DC43,KwaZulu-Natal,5,KZN,59210,5970057,39255,hea
Delamuzi SP,598016001,Delamuzi,598016,Umzimkhulu,598,KZN435,Sisonke,543,DC43,KwaZulu-Natal,5,KZN,59210,5980290,39302,hea
Nodwengu SP,598089001,Nodwengu,598089,Umzimkhulu,598,KZN435,Sisonke,543,DC43,KwaZulu-Natal,5,KZN,59210,5980147,39419,hea
Nomeva SP,598108001,Nomeva,598108,Umzimkhulu,598,KZN435,Sisonke,543,DC43,KwaZulu-Natal,5,KZN,59210,5980104,39445,hea
Magikala SP,598180001,Magikala,598180,Umzimkhulu,598,KZN435,Sisonke,543,DC43,KwaZulu-Natal,5,KZN,59210,5980133,39553,hea
Maplazini SP,598212001,Maplazini,598212,Umzimkhulu,598,KZN435,Sisonke,543,DC43,KwaZulu-Natal,5,KZN,59210,5980352,39597,hea
Mabuyeni SP,538022001,Mabuyeni,538022,uMhlathuze,538,KZN282,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59304,5380362,32172,hea
Dongothuli SP B,580086001,Dongothuli,580086,Nongoma,580,KZN265,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59304,5800107,36055,hea
Maphophoma A SP,580143001,Maphophoma,580143,Nongoma,580,KZN265,Zululand,556,DC26,KwaZulu-Natal,5,KZN,59304,5800281,36174,hea
Matshamnyama,585005001,Matshamnyama,585005,Hlabisa,585,KZN274,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59304,5850062,37085,hea
Nomcondo SP,585012001,Nomcondo,585012,Hlabisa,585,KZN274,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59304,5850078,37108,hea
Madwaleni SP,586018001,Madwaleni,586018,Mtubatuba,586,KZN275,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59304,5860128,37248,hea
Nkatha SP,586025001,Nkatha,586025,Mtubatuba,586,KZN275,Umkhanyakude,527,DC27,KwaZulu-Natal,5,KZN,59304,5860204,37281,hea
Nhlabane SP,587024001,Nhlabane,587024,Mfolozi,587,KZN281,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59304,5870068,37456,hea
Ongelweni SP,588012001,Ongelweni,588012,Ntambanana,588,KZN283,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59304,5880057,37543,hea
Qwayinduku  SP,589061001,Qwayinduku,589061,uMlalazi,589,KZN284,Uthungulu,528,DC28,KwaZulu-Natal,5,KZN,59304,5890301,37875,hea
Makhwanini SP,591018001,Makhwanini,591018,Mandeni,591,KZN291,iLembe,559,DC29,KwaZulu-Natal,5,KZN,59304,5910104,38280,hea
Intaphuka SP,593045001,Intaphuka,593045,Ndwedwe,593,KZN293,iLembe,559,DC29,KwaZulu-Natal,5,KZN,59304,5930180,38811,hea
Mthaleni SP,503030001,Mthaleni,503030,Umzumbe,503,KZN213,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59305,5030018,29736,hea
Mthentu SP,504039001,Mthentu,504039,UMuziwabantu,504,KZN214,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59305,5040080,30004,hea
Mkoba SP,504026001,Mkoba,504026,UMuziwabantu,504,KZN214,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59305,5040096,27234,hea
Nkangala SP,503054001,Nkangala,503054,Umzumbe,503,KZN213,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59305,5030074,29796,hea
Enkulu SP,503089001,Enkulu,503089,Umzumbe,503,KZN213,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59305,5030166,29913,hea
KwaShoba SP,505021001,KwaShoba,505021,Ezingoleni,505,KZN215,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59305,5050057,30080,hea
Silwane SP,506005001,Silwane,506005,Hibiscus Coast,506,KZN216,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59305,5060236,30135,hea
Nyandezulu SP,506023001,Nyandezulu,506023,Hibiscus Coast,506,KZN216,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59305,5060214,30252,hea
Mhlalandlini SP,506056001,Mhlalandlini,506056,Hibiscus Coast,506,KZN216,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59305,5060300,30432,hea
Kwa-Rwayi SP,560006001,Kwa-Rwayi,560006,Vulamehlo,560,KZN211,Ugu,521,DC21,KwaZulu-Natal,5,KZN,59305,5600095,32623,hea
Madundube SP,599169001,Madundube,599169,eThekwini,599,ETH,eThekwini,599,ETH,KwaZulu-Natal,5,KZN,59305,5993653,44034,hea
Umnini SP,599189001,Umnini,599189,eThekwini,599,ETH,eThekwini,599,ETH,KwaZulu-Natal,5,KZN,59305,5993962,44404,hea
